filename,title,medium,substrate,price,sold,show_price,sold_style
Red Roses - Oils on Polymin - £650.jpg,Red Roses,Oils,Polymin,£650,n,y,dot
Blue Vase - Watercolour on Paper - £320.jpg,Blue Vase,Watercolour,Paper,£320,y,y,dot
Silver Jug - Oils on Linen - £480.jpg,Silver Jug,Oils,Linen,£480,n,y,dot
Autumn Fruits - Oils on Canvas - £550.jpg,Autumn Fruits,Oils,Canvas,£550,y,y,banner
Copper Pot - Oils on Polymin - £420.jpg,Copper Pot,Oils,Polymin,£420,n,y,dot
Morning Light - Watercolour on Paper - £380.jpg,Morning Light,Watercolour,Paper,£380,n,y,dot
